>BR61a_Tuber_floridanum	Query_1
>BR64_Tuber_rugosum	Query_2
>BR107_Morchella_americana	Query_3
>BR294_Cyclocybe_aegerita	Query_4
>BR309_Ganoderma_lucidum_Commercial_Strain_ME-G21	Query_5
>BR401_Pholiota_adiposa_Commercial_Strain_ME-P14	Query_6
>BR402_Panellus_serotinus_Commercial_Strain_ME-P26_synonym_Sarcomyxa_serotina	Query_7
>BR403_Kuehneromyces_mutabilis_Commercial_Strain_ME-K1	Query_8
>BR404_Pleurotus_ostreatus_Commercial_Strain_ME-P35	Query_9
>BR405_Lentinula_edodes_Commercial_Strain_AM-P8	Query_10
>BR453j_Fusarium_oxysporum	Query_11
>BR460_Mucor_circinelloides	Query_12
>BR486_Morchella_rufobrunnea	Query_13
>BR536_Artomyces_pyxidatus	Query_14
>BR538_Hymenopellis_furfuracea	Query_15
>BR539_Phellinus_alni	Query_16
>BR540_Ganoderma_applanatum	Query_17
>BR544_Hypomyces_tubariicola	Query_18
>BR552_Tuber_mexiusanum	Query_19
>BR5_Hericium_americanum	Query_20
